,artist,song,link,text
0,Gordon Lightfoot,I'd Do It Again,/g/gordon+lightfoot/id+do+it+again_20061651.html,"A one man band on a one night stand  
As a one man band should be  
The cried for more, he replied why sure  
And he played one just for free  
The sounds he laid down. the songs he played  
Made the ladies all come to call  
He was born in the back of a Seminole bus  
On the road to Niagara Falls  
  
I'd do it again, I'd do it again  
I'd do it again  
  
The one man band philosophical man  
Didn't lie when he said to us  
I seen the high rollers come and go  
It's the holy rollers I trust  
The man said then he was sixteen when  
He retired from the county school  
A wee bit thin with a will to begin  
He was known to be know man's fool  
  
I'd do it again, I'd do it again  
I'd do it again  
  
The one man band was a mighty good man  
Cause he played 'til the break of dawn  
He ups and downs about four more rounds  
And he stayed 'til the crowd went home  
It seemed to me like he never could be  
Like anything I'd ever seen before  
When he stepped from the stage  
With his ax in his hand  
And he run through the backstage door  
  
I'd do it again, I'd do it again  
I'd do it again  
  
A one man band on a one night stand  
As a one man band should be  
They cried for more, he replied why sure  
And he played one just for free

"
1,Alabama,Right Where I Am,/a/alabama/right+where+i+am_20305006.html,"Subways runnin' under the city  
Condos reachin' to the sky  
Each of this own, but I feel at home  
Standing on this mountain high  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Talk on the cell phone, checkin' her e-mail  
The fax is a way of life  
She's shoppin' at home with QVC on  
And surfin' on-line  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Satellite feed out in the country  
Oh what a way of life  
Turn off the tv  
Shut down the pc  
And click off the world tonight  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Yeah  
Right where I am  
Where I want to be  
  
Subways runnin' under the city  
Satellite feed out in the country  
Each to his own I feel at home  
Standin' on this mountain high  
Right where I am  
Right where I am, where I want to be  
Where I want to be

"
2,Donna Summer,Breakaway,/d/donna+summer/breakaway_20042195.html,"For too long she was feeling  
That her love had lost it meaning  
She was looking for a reason  
Not to breakaway  
But I don't think she can take it  
  
She'll be strong enough for two although  
It's hard for her to do  
She'll breakaway  
Oh, oh, oh she'll breakaway  
  
Forget about the bad times  
Remember all the good times  
Hold your head up high  
And breakaway  
Forget about the bad times  
Remember all the good times  
Hold your head up high  
  
Oh, oh, oh she'll breakaway  
  
It's a secret she's been keeping  
It's been eating at her heart  
Wish I could find the words to tell you  
But I don't know where to start  
And when she looks into the future  
She sees too many problems  
There are so many reasons  
She should pack up the past  
And breakaway  
Oh, oh, oh she'll breakaway  
  
Forget about the bad times  
Remember all the good times  
Hold your head up high  
And breakaway  
Forget about the bad times  
Remember all the good times  
Hold your head up high  
  
Oh, oh, oh she'll breakaway

"
3,George Strait,Love Is Everything,/g/george+strait/love+is+everything_21061484.html,"Love is everything  
It's a whole lot more than going to the store for a wedding ring  
It's kissin' and a huggin' but it's also the kicking and the cussing thing  
I've been told  
  
Love is everything  
It's a smile on your face on a cold winter day at the thought of spring  
It's getting up at night for the cry of a little bitty baby thing  
And it's growing old  
  
Love is everything  
It's those fires that daddy stoked those nights to keep you warm  
It's the hell your mama went through the day you were born  
And it's a thunderstorm  
  
Love is everything  
Oh, it's going off to war, it's the back and forth on a front porch swing  
It's the kiss that you got in the old parking lot of a Dairy Queen  
And it's you and me  
  
Love is everything  
It's looking out for everybody else but number one  
And it's all that really matters when all's said and done  
And the race is run  
  
Love is everything  
It's a rose on a stone, it's the words in a song that the choir sings  
It's the tears of goodbye and the place that you fly to, to get your wings  
Yeah love's the king  
Love is everything  
Love is everything

"
4,Gordon Lightfoot,On The High Seas,/g/gordon+lightfoot/on+the+high+seas_20061561.html,"Was it someone she met that's so hard to forget  
Was it some kind of an ocean of changes  
I don't remember where she said she would be  
And since I don't know, let me guess  
Was it somewhere in Michigan or the Lake of the Woods  
Up in old Montreal or Toronto the good  
Somewhere in Reno or somewhere in Rome  
And when all is said and done  
Will she leave me alone  
  
I don't want to get so low  
And as for my sadness, it comes and it goes  
I don't remember where she said she would be  
Back in the city or on the high seas  
  
Was it up in Hornpayne where the trains run on time  
Was she drinking champagne when she made up her mind  
North of the border or down in South Bend  
And when all is said and done  
Is there no rainbow's end  
  
I don't want to own the key  
To some ghostly mansion where souls are set free  
I don't remember where she said she would go  
Straight for the highway or down the low road  
I don't remember where she said she would be  
Back in the city or on the high seas

"
5,Alabama,I'm Stoned,/a/alabama/im+stoned_20005085.html,"Sittin' here and rinkin'. Hey that's my fav'right song.  
What's that that Ihear ringin'? Would someone get the phone?  
Wond'rin if she'll ever come home.  
I've had no sleep, sad songs. I'm stoned.  
Our love, a fadin mem'ry as I chase another down.  
My eyes are gettin' heavy and my head's spinnin' 'round.  
Stil wond'rin if she'll ever come home.  
I've had no sleep, sad songs, I'm stoned.  
Closing time, I drive for home not feelin' any pain.  
Thoughts of her drift back tome through the fallin' rain.  
Not caring if she ever come shome.  
I've had no sleep, sad songs. I'm stoned.  
I've had no sleep, sad songs. I'm stoned.  
  

"
6,Gordon Lightfoot,Brave Mountaineers,/g/gordon+lightfoot/brave+mountaineers_20061546.html,"Born in the country and I like that country smile  
Of the little girls and boys, they remind me of a child  
That I knew and a big harvest moon  
That shon' by suppertime in the dusty afternoon  
  
And I need to be there  
When the autumn wind goes whistlin' through the trestle we would climb  
Like brave mountaineers  
We never were much bothered by time  
  
Born in the country and I like that country song  
We played for just a nickel every time we got to town  
And I bought you a dime diamond ring  
In the hayloft we would play, we were princesses and kings  
  
And I need to be there  
When the world gets too heavy and the shadows cross my mind  
Like brave mountaineers  
We never were much bothered by time  
  
Born in the country and I like that country way  
Of the uncles and the cousins and the card games they would play  
While the young ones slept overhead  
Beneath the quilts that mother made, when all the prayers were said  
  
And I need to be there  
When the autumn wind goes whistlin' through the trestle we would climb  
Like brave mountaineers  
We never were much bothered by time  
  
And I need to be there  
When the world gets too heavy and the shadows cross my mind  
Like brave mountaineers  
We never were much bothered by time

"
7,Alabama,Between The Two Of Them,/a/alabama/between+the+two+of+them_20163424.html,"They married back in '32  
They were young and love was new  
And every day the feeling grew  
Between the two of them  
When work grew scarce and times got bad  
The hope would chase away the sad  
And hope was sometimes all they had  
Between the two of them  
The 40's came and the 50's went  
And the mortgage replaced the rent  
They made the most of each day spent  
Between the two of them  
Their children all turned out just fine  
So he retired in '69  
And left with oh so little time  
Between the two of them  
Today I brave the graveyard rain  
And placed a rose between their names  
Now that's the most that ever came  
Between the two of them  
And though I miss them oh so much  
His crooked smile her gentle touch  
And the pleasure of just growing up  
Between the two of them

"
8,Donna Summer,Cold Love,/d/donna+summer/cold+love_20042350.html,"I'm walking the line  
I'm walking the line  
Treading thin ice  
Time after time  
  
I go for the best, end up with much less  
I need the real thing  
Forget all the rest  
  
Started out good  
Working out bad  
All the sweet love turner  
Sour and sad  
  
A face and name  
It's always the same  
So tired of playing love's foolish games  
Tell me why  
Love passes me by  
  
[Chorus]  
Cold love, cold love  
Another shot of rock 'n' roll love  
Cold love, cold love  
Whatever happened to that  
Good old love  
Tell me why, tell me why, tell me why  
Tell me why, tell me why  
  
Hope in the dark, love in the light  
I'll keep on looking for someone  
Who's right  
  
I'm out for the best  
Can you stand the test  
I need the real thing  
No more and no less  
Tell me why  
Love passes me by  
  
[Chorus]

"
9,Gordon Lightfoot,The House You Live In,/g/gordon+lightfoot/the+house+you+live+in_20061658.html,"Go first in the world, go forth with your fears  
Remember a price must be paid  
Be always too soon, be never too fast  
At the time when all bets must be laid  
Beware of the darkness, be kind to your children  
Remember the woman who waits  
And the house you live in will never fall down  
If you pity the stranger who stands at your gate  
  
When you're caught by the gale and you're full under sail  
Beware of the dangers below  
And the song that you sing should not be too sad  
And be sure not to sing it too slow  
Be calm in the face of all common disgraces  
And know what they're doin' it for  
And the house you live in will never fall down  
If you pity the stranger who stands at your door  
  
When you're out on the road and feelin' quite lost  
Consider the burden of fame  
And he who is wise will not criticize  
When other men fail at the game  
Beware of strange faces and dark dingy places  
Be careful while bending the law  
And the house you live in will never fall down  
If you pity the stranger who stands at your door  
  
When you're down in the dumps and not ready to deal  
Decide what it is that you need  
Is it money or love, is it learnin' to live  
Or is it the mouth you must feed  
Be known as a man who will always be candid  
On questions that do not relate  
And the house you live in will never fall down  
If you pity the stranger who stands at your gate  
And the house you live in will never fall down  
If you pity the stranger who stands at your gate

"
